date,adj_close,
05/09/2018,130.84,
05/08/2018,129.9,
05/07/2018,129.26,
05/04/2018,128.16,
05/03/2018,127.18,
05/02/2018,126.38,
05/01/2018,127.51,
04/30/2018,126.88,
04/27/2018,126.01,
04/26/2018,127.08,
04/25/2018,121.21,
04/24/2018,121.27,
04/23/2018,124.46,
04/20/2018,124.2,
04/19/2018,123.96,
04/18/2018,124.48,
04/17/2018,123.8,
04/16/2018,121.88,
04/13/2018,120.75,
04/12/2018,121.07,
04/11/2018,119.78,
04/10/2018,120.72,
04/09/2018,118.79,
04/06/2018,117.7,
04/05/2018,121.19,
04/04/2018,119.81,
04/03/2018,119.2,
04/02/2018,118.39,
03/29/2018,119.62,
03/28/2018,116.99,
03/27/2018,117.4,
03/26/2018,120.64,
03/23/2018,117,
03/22/2018,119.99,
03/21/2018,123.22,
03/20/2018,124.91,
03/19/2018,123.21,
03/16/2018,124.53,
03/15/2018,123.41,
03/14/2018,122.58,
03/13/2018,123.2,
03/12/2018,124.24,
03/09/2018,124.51,
03/08/2018,122.22,
03/07/2018,121.85,
03/06/2018,121.06,
03/05/2018,121.88,
03/02/2018,120.77,
03/01/2018,120.4,
02/28/2018,122.94,
02/27/2018,123.37,
02/26/2018,124.59,
02/23/2018,122.93,
02/22/2018,120.38,
02/21/2018,120.43,
02/20/2018,122.01,
02/16/2018,121.85,
02/15/2018,122.28,
02/14/2018,120.83,
02/13/2018,118.35,
02/12/2018,118.47,
02/09/2018,116.32,
02/08/2018,113.86,
02/07/2018,119.65,
02/06/2018,119.97,
02/05/2018,116.27,
02/02/2018,120.91,
02/01/2018,125.72,
01/31/2018,124.23,
01/30/2018,123.55,
01/29/2018,124.84,
01/26/2018,126.32,
01/25/2018,125.22,
01/24/2018,124.55,
01/23/2018,124.65,
01/22/2018,124.33,
01/19/2018,122.7,
01/18/2018,123.11,
01/17/2018,121.98,
01/16/2018,120.39,
01/12/2018,120.09,
01/11/2018,119.84,
01/10/2018,118.98,
01/09/2018,119.11,
01/08/2018,119.34,
01/05/2018,118.86,
01/04/2018,116.08,
01/03/2018,115.65,
01/02/2018,114.51,
12/29/2017,114.02,
12/28/2017,114.35,
12/27/2017,114.02,
12/26/2017,112.99,
12/22/2017,112.69,
12/21/2017,112.41,
12/20/2017,112.12,
12/19/2017,112.14,
12/18/2017,113.55,
12/15/2017,113.82,
12/14/2017,112.92,
12/13/2017,113.31,
12/12/2017,113.46,
12/11/2017,112.37,
12/08/2017,112.6,
12/07/2017,111.4,
12/06/2017,109.74,
12/05/2017,108.58,
12/04/2017,107.43,
12/01/2017,110.73,
11/30/2017,112.59,
11/29/2017,109.86,
11/28/2017,113.36,
11/27/2017,112.38,
11/24/2017,111.97,
11/22/2017,110.82,
11/21/2017,111.45,
11/20/2017,109.95,
11/17/2017,109.82,
11/16/2017,111.02,
11/15/2017,110.25,
11/14/2017,111.98,
11/13/2017,111.4,
11/10/2017,111.88,
11/09/2017,112.14,
11/08/2017,112.47,
11/07/2017,112.09,
11/06/2017,111.92,
11/03/2017,111.36,
11/02/2017,110.98,
11/01/2017,111.07,
10/31/2017,109.98,
10/30/2017,110.04,
10/27/2017,109.71,
10/26/2017,109.8,
10/25/2017,109.49,
10/24/2017,108.41,
10/23/2017,107.53,
10/20/2017,107.55,
10/19/2017,107.02,
10/18/2017,107.8,
10/17/2017,107.54,
10/16/2017,108.3,
10/13/2017,108.66,
10/12/2017,108.11,
10/11/2017,108.44,
10/10/2017,107.31,
10/09/2017,107.01,
10/06/2017,106.73,
10/05/2017,106.24,
10/04/2017,105.31,
10/03/2017,105.59,
10/02/2017,105.44,
09/29/2017,105.24,
09/28/2017,104.58,
09/27/2017,103.89,
09/26/2017,102.94,
09/25/2017,103.02,
09/22/2017,105.56,
09/21/2017,105.31,
09/20/2017,104.97,
09/19/2017,105.41,
09/18/2017,104.83,
09/15/2017,105.3,
09/14/2017,106.08,
09/13/2017,105.83,
09/12/2017,106.21,
09/11/2017,106.15,
09/08/2017,104.43,
09/07/2017,104.56,
09/06/2017,103.18,
09/05/2017,103.01,
09/01/2017,103.9,
08/31/2017,103.52,
08/30/2017,103.73,
08/29/2017,103.77,
08/28/2017,103.78,
08/25/2017,103.35,
08/24/2017,103.22,
08/23/2017,103.18,
08/22/2017,104.07,
08/21/2017,103.22,
08/18/2017,102.51,
08/17/2017,102.16,
08/16/2017,103.32,
08/15/2017,102.63,
08/14/2017,101.87,
08/11/2017,100.09,
08/10/2017,99.49,
08/09/2017,100.97,
08/08/2017,101.28,
08/07/2017,101.49,
08/04/2017,100.89,
08/03/2017,100.59,
08/02/2017,101.28,
08/01/2017,100.87,
07/31/2017,99.56,
07/28/2017,99.15,
07/27/2017,99.57,
07/26/2017,100.85,
07/25/2017,99.99,
07/24/2017,100.37,
07/21/2017,99.6,
07/20/2017,98.11,
07/19/2017,98.25,
07/18/2017,97.58,
07/17/2017,96.83,
07/14/2017,96.93,
07/13/2017,95.94,
07/12/2017,96.18,
07/11/2017,95.41,
07/10/2017,95.09,
07/07/2017,93.92,
07/06/2017,93.25,
07/05/2017,94.01,
07/03/2017,93.35,
06/30/2017,93.78,
06/29/2017,94.42,
06/28/2017,96.23,
06/27/2017,94.9,
06/26/2017,95.22,
06/23/2017,95.58,
06/22/2017,93.95,
06/21/2017,94.54,
06/20/2017,94.38,
06/19/2017,94.79,
06/16/2017,94.17,
06/15/2017,94.17,
06/14/2017,95.32,
06/13/2017,95.08,
06/12/2017,93.5,
06/09/2017,94.56,
06/08/2017,96.09,
06/07/2017,96.09,
06/06/2017,95.79,
06/05/2017,96.55,
06/02/2017,96.15,
06/01/2017,95.4,
05/31/2017,95.23,
05/30/2017,94.72,
05/26/2017,94.67,
05/25/2017,95.04,
05/24/2017,94.81,
05/23/2017,93.86,
05/22/2017,93.31,
05/19/2017,92.48,
05/18/2017,91.71,
05/17/2017,91.76,
05/16/2017,93.15,
05/15/2017,93.23,
05/12/2017,92.73,
05/11/2017,92.1,
05/10/2017,92.25,
05/09/2017,92,
05/08/2017,91.92,
05/05/2017,92.09,
05/04/2017,92.62,
05/03/2017,92.44,
05/02/2017,92.54,
05/01/2017,91.26,
04/28/2017,91.22,
04/27/2017,91.6,
04/26/2017,91.82,
04/25/2017,92.11,
04/24/2017,91.85,
04/21/2017,91.15,
04/20/2017,91.15,
04/19/2017,89.75,
04/18/2017,89.73,
04/17/2017,89.81,
04/13/2017,88.87,
