date,adj_close,,
05/12/2022,321.24,,
05/11/2022,325.87,,
05/10/2022,325.33,,
05/09/2022,327.99,,
05/06/2022,347.12,,
05/05/2022,353.37,,
05/04/2022,368.52,,
05/03/2022,357.79,,
05/02/2022,359.04,,
04/29/2022,363.38,,
04/28/2022,378.83,,
04/27/2022,361.57,,
04/26/2022,344.11,,
04/25/2022,354.6,,
04/22/2022,351.18,,
04/21/2022,364.44,,
04/20/2022,365.29,,
04/19/2022,363.87,,
04/18/2022,356.8,,
04/14/2022,357.82,,
04/13/2022,355.14,,
04/12/2022,345.8,,
04/11/2022,347.37,,
04/08/2022,352.27,,
04/07/2022,349.55,,
04/06/2022,353.55,,
04/05/2022,363.32,,
04/04/2022,366.91,,
04/01/2022,363.97,,
03/31/2022,357.38,,
03/30/2022,362.24,,
03/29/2022,367.55,,
03/28/2022,350.49,,
03/25/2022,349.02,,
03/24/2022,349.35,,
03/23/2022,342.18,,
03/22/2022,349.53,,
03/21/2022,345.58,,
03/18/2022,350.09,,
03/17/2022,346.44,,
03/16/2022,344.68,,
03/15/2022,335,,
03/14/2022,328.59,,
03/11/2022,324.79,,
03/10/2022,324.59,,
03/09/2022,328.13,,
03/08/2022,314.33,,
03/07/2022,312.92,,
03/04/2022,330.76,,
03/03/2022,340.99,,
03/02/2022,344.09,,
03/01/2022,344.48,,
02/28/2022,360.82,,
02/25/2022,369.09,,
02/24/2022,369.38,,
02/23/2022,361.23,,
02/22/2022,368.29,,
02/18/2022,369.95,,
02/17/2022,373.7,,
02/16/2022,382.93,,
02/15/2022,381.54,,
02/14/2022,374.16,,
02/11/2022,369.77,,
02/10/2022,374.39,,
02/09/2022,381.37,,
02/08/2022,374.37,,
02/07/2022,376.13,,
02/04/2022,382.2,,
02/03/2022,390.07,,
02/02/2022,396.75,,
02/01/2022,392.06,,
01/31/2022,386.38,,
01/28/2022,382.51,,
01/27/2022,350.53,,
01/26/2022,344.66,,
01/25/2022,338.76,,
01/24/2022,349.42,,
01/21/2022,355.08,,
01/20/2022,364,,
01/19/2022,360.73,,
01/18/2022,366.3,,
01/14/2022,372.14,,
01/13/2022,369.52,,
01/12/2022,367.31,,
01/11/2022,366.29,,
01/10/2022,363.91,,
01/07/2022,369.65,,
01/06/2022,370,,
01/05/2022,373.9,,
01/04/2022,375.39,,
01/03/2022,370.95,,
12/31/2021,359.32,,
12/30/2021,360.99,,
12/29/2021,361.29,,
12/28/2021,360.78,,
12/27/2021,360.31,,
12/23/2021,360.58,,
12/22/2021,357.48,,
12/21/2021,350.74,,
12/20/2021,337.02,,
12/17/2021,349.31,,
12/16/2021,352.92,,
12/15/2021,346.35,,
12/14/2021,340.55,,
12/13/2021,345.31,,
12/10/2021,349.92,,
12/09/2021,344.52,,
12/08/2021,342.34,,
12/07/2021,339.51,,
12/06/2021,333.33,,
12/03/2021,322.11,,
12/02/2021,320.2,,
12/01/2021,306.28,,
11/30/2021,314.92,,
11/29/2021,323.01,,
11/26/2021,324.17,,
11/24/2021,340,,
11/23/2021,329,,
11/22/2021,321.3,,
11/19/2021,339.72,,
11/18/2021,348.22,,
11/17/2021,359.17,,
11/16/2021,369.56,,
11/15/2021,361.36,,
11/12/2021,363.5,,
11/11/2021,354.34,,
11/10/2021,357.94,,
11/09/2021,344.65,,
